Unnamed: 0,Date,User,Tweet
65173,2019-01-03 11:37:45+00:00,arshpath,"I don't have any great respect for our politicians &amp; I think most of them can go to a point of extreme absurdity but #RahulGandhi
accusing GOA CM Parrikar of blackmailing Modi to remain CM is most atrocious &amp; ridiculous I ever heard of."
139917,2019-01-13 05:27:37+00:00,IndInitiatives,"Will @BJP4India India better off projecting the array of leaders capable of occupying @PMOIndia or  the light should stay focused on just @narendramodi ?

#2019Elections #LokSabhaElections2019
@YRDeshmukh @prasannavishy 
@ChouhanShivraj @drramansingh @nitin_gadkari"
80146,2019-04-28 11:40:10+00:00,VandanaMegastar,"@Zachjoe16 Perfect, thankq young man. Good 🍀, you have to 🏆 #Bihar #VoteForIndia #LokSabhaElections2019"
134331,2019-02-13 16:51:59+00:00,ramchandani2000,now #RahulGandhi is free to go abroad
93541,2019-04-15 08:50:32+00:00,manishchodhary,"Election divides India
GOT unites India

#GOTS8 #GOT #LokSabhaElections2019 #IPL2019 #GameofThronesSeason8"
73275,2019-05-07 06:35:47+00:00,inmyshuzz,"""Patriotism is the last refuge of a scoundrel"" ~ Samuel Johnson made this famous pronouncement on the evening of April 7, 1775. So relevant even today, after 244 years..probably more than ever. 

#LokSabhaElections2019 #vote"
37244,2019-03-21 20:10:15+00:00,_umakantsingh,"This why Modi should be taken as father of all what is bad in country today, must be defeated total at all cost,even a person with @OfficeOfOPS was calling ""daddy"", Modi is daddy of all that bad today! @ShekharGupta ""best wishes""Amit shah trump #chandrababu #LokSabhaElections2019"
10164,2019-04-30 08:38:47+00:00,Pretentious_doc,"The new currency notes are the old notes which have just changed their colours to look more fancy on the outside, much like our Ruling party.

#NaMo #Chowkidaar #BjP #Congress #currency #DeMonetisation #MahaGathbandhan"
128767,2019-03-02 06:27:42+00:00,KyasapuraS,"d way Moronic Reds from #Kerala ,Bengali brothers of #MamataBanerjee - didi ,educated #Congress guys with &lt; IQ of #RahulGandhi &amp; #priyankagandhi combined r crediting #NavjotSinghSidhu &amp; #ImranKhan 4 W C #Abhinandan 's return, may even soon demand #BharatRatna for Sidhu &amp; Imran!🤪"
88845,2019-04-18 16:39:57+00:00,ShivaaniKTalwar,#MukeshAmbani seeking votes for #Congress candidate while @RahulGandhi openly accuses  #AnilAmbani in #Rafaledeal ! #KapilSibal defends Anil in court ! What's up #RahulGandhi ? U have been pointing fingers at @narendramodi but seems it's you who needs to answer some questions !
